Gender,CGPA,10th Class Board,10th Class Science Marks (out of 100),10th Class Maths Marks (out of 100),10th Class English/Language Marks (out of 100),10th Class Overall Percentage,12th Class School Category,12th Class Board,12th Class Physics Marks (out of 100),12th Class Maths Marks (out of 100),12th Class Chemistry Marks (out of 100),12th Class English/Language Marks (out of 100),12th Class Overall Percentage,JEE Mains Session 1 Maths Percentile,JEE Mains Session 1 Physics  Percentile,JEE Mains Session 1 Chemistry  Percentile,JEE Mains Session 1 Overall Score,JEE Mains Session 2 Maths  Percentile,JEE Mains Session 2 Physics  Percentile,JEE Mains Session 2 Chemistry  Percentile,JEE Mains Session 2 Overall  Percentile
Female,8.6,ICSE,83,89,86,91.8,Private School,ICSE,98.0,98.0,93.0,90,96.0,94.9,87.8,57.4,84.5,91.9,86.1,82.6,88.3
Female,8.3,CBSE,94,92,93,90.0,Private School,CBSE,95.0,87.0,86.0,87,88.0,88.6,91.4,76.9,88.8,83.2,91.7,88.6,90.8
Female,8.2,ICSE,93,87,93,93.2,Private School,ICSE,73.0,70.0,78.0,91,82.0,55.3,87.9,82.9,85.3,62.8,73.5,62.2,70.7
Female,8.0,CBSE,93,91,84,89.6,Private School,CBSE,73.0,79.0,72.0,81,75.4,43.2,77.7,77.0,75.3,87.1,62.3,76.3,74.8
Female,8.0,CBSE,93,98,90,94.0,Government School,CBSE,88.0,92.0,92.0,85,90.8,84.1,78.9,59.6,76.3,91.8,82.6,31.7,78.2
Female,8.0,State Board,90,95,90,93.0,Private School,State Board,91.0,95.0,86.0,85,88.2,75.6,68.5,46.0,64.3,85.8,62.7,58.0,69.7
Female,8.0,CBSE,85,90,93,90.8,Government School,CBSE,79.0,75.0,78.0,92,80.8,91.6,79.6,82.9,86.6,74.1,89.2,86.2,88.0
Female,7.9,CBSE,95,94,90,94.2,Government School,CBSE,95.0,67.0,80.0,80,82.8,70.7,78.1,95.9,87.7,38.0,89.8,91.1,87.5
Female,7.8,CBSE,81,95,69,85.2,Government School,CBSE,89.0,84.0,93.0,85,88.0,83.6,74.3,67.9,76.0,75.6,88.4,87.6,88.3
Female,7.8,CBSE,93,97,93,93.6,Government School,CBSE,73.0,89.0,85.0,74,79.8,55.7,89.0,96.4,91.6,65.0,84.3,96.1,90.4
