Gender,CGPA,10th Class Board,10th Class Science Marks (out of 100),10th Class Maths Marks (out of 100),10th Class English/Language Marks (out of 100),10th Class Overall Percentage,12th Class School Category,12th Class Board,12th Class Physics Marks (out of 100),12th Class Maths Marks (out of 100),12th Class Chemistry Marks (out of 100),12th Class English/Language Marks (out of 100),12th Class Overall Percentage,JEE Mains Session 1 Maths Percentile,JEE Mains Session 1 Physics  Percentile,JEE Mains Session 1 Chemistry  Percentile,JEE Mains Session 1 Overall Score,JEE Mains Session 2 Maths  Percentile,JEE Mains Session 2 Physics  Percentile,JEE Mains Session 2 Chemistry  Percentile,JEE Mains Session 2 Overall  Percentile
Male,8.6,State Board,93,79,76,88.0,Government School,Others,82.0,81.0,78.0,78,81.4,95.3,58.3,95.7,88.2,89.9,72.6,90.6,84.7
Male,8.6,CBSE,95,99,84,94.4,Private School,CBSE,75.0,86.0,72.0,80,79.0,73.3,87.8,78.3,84.8,82.9,93.6,83.2,90.4
Male,8.6,CBSE,98,99,99,97.16,Private School,CBSE,94.0,95.0,96.0,91,95.0,71.7,93.9,88.9,92.6,78.1,93.8,86.0,90.6
Male,8.4,CBSE,80,95,91,91.0,Government School,CBSE,95.0,92.0,83.0,92,90.2,96.3,91.8,72.7,90.1,91.5,86.5,88.6,89.9
Male,8.3,State Board,98,94,87,96.0,Government School,State Board,92.0,94.0,70.0,74,86.5,70.0,83.7,93.4,88.6,67.7,88.1,80.9,85.3
Male,8.2,CBSE,92,86,86,90.6,Private School,State Board,95.0,100.0,90.0,88,92.5,66.0,83.6,90.2,85.5,57.5,90.8,96.9,91.8
Male,8.2,CBSE,89,95,90,92.0,Government School,CBSE,86.0,82.0,84.0,84,87.0,72.9,88.1,97.9,93.0,47.3,92.2,94.9,91.3
Male,8.1,CBSE,92,91,93,94.0,Government School,CBSE,95.0,91.0,93.0,86,94.0,83.0,90.5,94.8,93.2,79.7,73.5,48.4,70.7
Male,8.1,CBSE,91,88,93,92.0,Private School,CBSE,71.0,92.0,78.0,87,79.2,54.8,64.7,81.6,74.6,46.2,76.9,95.6,87.0
Male,8.1,State Board,97,100,97,97.28,Government School,State Board,91.0,95.0,95.0,90,92.8,91.1,77.3,75.9,82.2,88.6,72.1,83.3,82.7
Male,8.1,CBSE,91,97,97,94.8,Government School,CBSE,95.0,95.0,97.0,92,93.2,34.9,90.8,75.0,81.0,49.5,81.6,89.6,84.3
Male,8.0,CBSE,91,93,92,92.8,Government School,CBSE,95.0,73.0,87.0,90,86.2,40.0,95.1,91.4,91.0,82.9,96.3,92.7,94.4
Male,8.0,CBSE,77,86,80,84.6,Government School,CBSE,88.0,54.0,80.0,80,78.6,51.0,91.0,92.0,90.3,65.0,92.0,93.0,91.6
Male,8.0,State Board,100,100,100,100.0,Private School,State Board,95.0,93.0,98.0,92,93.2,16.9,91.9,85.0,85.4,47.2,88.8,91.7,88.8
Male,8.0,CBSE,95,89,88,87.0,Government School,CBSE,87.0,89.0,99.0,75,86.8,87.4,91.9,97.9,95.1,87.4,91.9,97.9,95.1
Male,8.0,CBSE,78,93,75,86.2,Government School,CBSE,66.0,82.0,68.0,70,79.0,55.3,73.1,70.7,71.7,87.9,76.1,59.5,77.2
Male,8.0,CBSE,98,95,99,97.6,Government School,CBSE,64.0,56.0,68.0,83,70.0,75.0,57.0,39.0,55.0,60.0,84.0,68.0,78.0
Male,7.9,CBSE,94,98,88,94.6,Government School,CBSE,79.0,95.0,95.0,84,89.6,77.4,78.9,93.9,86.8,90.8,74.0,98.7,91.8
Male,7.9,CBSE,77,74,91,84.2,Government School,CBSE,87.0,50.0,73.0,91,79.4,86.0,92.8,84.3,90.7,60.7,94.4,84.7,89.2
Male,7.9,CBSE,91,91,93,93.0,Government School,CBSE,80.0,79.0,80.0,97,86.2,16.5,81.1,63.9,69.0,81.0,79.0,79.1,81.9
Male,7.9,CBSE,93,94,90,92.6,Government School,CBSE,79.0,80.0,84.0,79,83.0,79.2,83.5,90.2,87.8,45.1,90.6,87.7,87.9
Male,7.9,CBSE,81,86,81,82.8,Private School,CBSE,69.0,53.0,87.0,75,75.2,26.8,97.3,93.0,93.2,43.1,87.3,85.1,84.3
Male,7.9,CBSE,95,95,83,94.0,Private School,CBSE,83.0,93.0,91.0,89,91.4,93.2,90.1,82.8,91.1,46.6,86.1,42.5,75.6
Male,7.8,CBSE,93,95,94,94.2,Government School,CBSE,84.0,75.0,77.0,77,80.0,43.2,91.3,97.6,93.2,65.9,96.0,96.2,94.8
Male,7.8,CBSE,91,95,91,93.6,Government School,CBSE,82.0,88.0,91.0,92,88.66,62.8,76.5,73.3,75.5,74.9,81.3,87.2,85.3
Male,7.8,CBSE,72,84,91,83.2,Government School,CBSE,89.0,63.0,72.0,90,82.0,51.9,85.3,31.7,69.5,84.5,91.2,79.2,88.2
Male,7.8,State Board,85,91,90,88.0,Government School,State Board,87.0,48.0,85.0,90,77.0,75.5,87.5,80.7,85.4,12.3,83.9,91.7,84.7
Male,7.7,CBSE,77,91,92,85.8,Government School,CBSE,63.0,67.0,60.0,73,77.4,59.0,66.2,16.6,42.5,96.0,86.0,41.3,82.9
Male,7.7,State Board,97,94,92,95.42,Government School,State Board,73.0,74.0,88.0,90,86.2,84.3,82.8,93.4,90.8,63.4,37.5,50.7,56.9
Male,7.7,CBSE,85,96,89,92.2,Government School,CBSE,94.0,93.0,95.0,79,91.2,81.6,88.4,90.9,89.4,85.2,91.3,85.7,89.8
Male,7.7,CBSE,84,88,87,84.6,Government School,CBSE,88.0,66.0,86.0,91,82.67,87.7,78.9,80.5,83.7,60.8,76.1,25.2,58.9
Male,7.7,CBSE,92,86,90,91.17,Private School,CBSE,81.0,72.0,81.0,72,79.0,35.8,79.8,90.5,83.6,28.7,74.1,74.3,70.3
Male,7.7,CBSE,93,92,92,91.8,Private School,CBSE,66.0,69.0,65.0,85,71.4,62.2,22.5,81.6,63.2,59.6,79.0,77.2,77.9
Male,7.6,CBSE,81,93,95,91.6,Government School,CBSE,71.0,74.0,63.0,85,79.5,70.0,87.5,56.6,77.9,35.7,88.4,87.3,84.6
Male,7.6,CBSE,98,91,94,95.8,Government School,CBSE,77.0,64.0,90.0,89,89.0,96.0,96.0,97.0,97.7,94.9,95.0,97.0,97.6
Male,7.6,CBSE,94,97,94,95.5,Government School,CBSE,95.0,87.0,95.0,89,91.0,92.0,83.8,82.6,88.1,86.6,90.0,83.1,88.7
Male,7.6,CBSE,76,94,73,85.0,Government School,CBSE,86.0,88.0,85.0,81,86.0,36.5,73.4,81.3,73.4,93.1,93.4,18.5,86.2
Male,7.6,CBSE,86,85,85,88.2,Government School,CBSE,84.0,58.0,62.0,84,75.2,50.0,90.0,58.0,78.3,85.5,92.5,87.9,91.8
Male,7.5,CBSE,93,95,90,90.0,Government School,CBSE,93.0,80.0,95.0,87,89.2,56.2,97.2,82.7,91.7,78.3,89.8,68.6,84.9
Male,7.5,CBSE,60,78,73,72.8,Government School,CBSE,84.0,88.0,95.0,87,86.6,62.8,74.3,82.4,78.8,78.0,87.6,91.4,89.7
Male,7.5,CBSE,97,88,89,91.2,Private School,CBSE,88.0,87.0,88.0,86,85.6,81.6,75.1,74.5,79.5,89.4,91.3,92.2,93.0
Male,7.4,CBSE,90,94,86,92.6,Private School,CBSE,76.0,74.0,74.0,79,77.6,38.3,83.8,82.6,80.5,95.8,88.8,77.8,90.2
Male,7.4,CBSE,92,82,81,85.8,Government School,CBSE,92.0,86.0,85.0,86,87.2,52.9,90.0,77.0,84.2,52.9,90.0,77.0,84.2
Male,7.4,CBSE,80,73,93,83.8,Government School,CBSE,87.0,75.0,81.0,74,80.6,81.4,90.9,93.3,92.1,93.5,96.1,87.9,94.9
Male,7.3,CBSE,96,98,95,96.0,Government School,CBSE,84.0,80.0,88.0,88,86.0,62.2,89.7,83.0,87.8,79.7,78.5,58.4,75.9
Male,7.3,CBSE,91,94,91,92.8,Government School,CBSE,90.0,61.0,92.0,87,84.0,37.9,89.2,84.3,85.0,67.7,91.5,81.9,87.5
Male,7.3,CBSE,91,80,84,85.6,Government School,CBSE,85.0,88.0,94.0,90,90.0,94.3,96.5,70.6,93.2,73.3,86.8,88.5,87.5
Male,7.3,CBSE,93,98,86,93.0,Government School,CBSE,73.0,65.0,78.0,80,76.2,63.2,76.4,81.3,78.2,90.9,84.2,78.8,86.4
Male,7.3,CBSE,81,81,87,85.8,Government School,State Board,80.0,64.0,69.0,91,79.0,83.2,85.5,53.2,78.2,83.3,90.8,71.7,85.9
Male,7.3,CBSE,72,92,87,82.6,Government School,CBSE,75.0,78.0,85.0,70,77.0,55.5,89.7,84.5,86.5,41.8,91.8,79.3,84.6
Male,7.3,CBSE,82,84,88,86.6,Private School,CBSE,83.0,92.0,86.0,92,87.4,86.2,97.8,80.4,93.8,32.5,91.0,89.2,88.0
Male,7.2,CBSE,68,90,90,84.2,Government School,CBSE,64.0,58.0,54.0,80,62.8,83.2,86.7,73.6,83.7,74.3,75.6,68.8,75.6
Male,7.2,CBSE,92,94,82,90.6,Government School,CBSE,77.0,78.0,95.0,85,84.8,21.7,93.4,95.4,91.6,57.4,88.3,83.2,85.6
Male,7.2,ICSE,76,94,80,87.5,Private School,ICSE,80.0,61.0,69.0,77,75.4,90.4,55.4,89.7,85.1,89.6,53.2,65.8,71.8
Male,7.2,State Board,79,82,82,80.83,Private School,State Board,68.0,47.0,68.0,83,71.0,93.8,68.3,53.0,79.6,67.7,43.4,42.6,48.5
Male,7.2,CBSE,93,94,93,90.0,Private School,CBSE,78.0,86.0,83.0,80,84.0,76.3,92.7,88.9,92.2,76.3,92.7,88.9,92.2
Male,7.1,CBSE,91,93,86,89.4,Private School,CBSE,69.0,63.0,75.0,83,72.0,37.9,84.7,74.7,78.8,77.5,48.1,51.0,57.4
Male,7.1,CBSE,86,93,82,86.4,Government School,CBSE,83.0,56.0,76.0,92,79.6,31.0,73.0,86.0,77.0,48.0,81.0,82.0,80.0
Male,7.1,CBSE,75,73,83,82.8,Government School,CBSE,86.0,69.0,85.0,67,79.6,72.1,94.8,44.5,89.1,37.4,89.4,89.2,87.2
Male,7.1,State Board,93,98,90,95.66,Private School,State Board,97.0,91.0,94.0,90,92.0,75.1,90.9,90.2,90.3,89.6,90.0,86.5,90.3
Male,7.1,CBSE,87,95,86,91.6,Government School,CBSE,84.0,79.0,81.0,82,81.8,75.2,87.7,96.9,92.3,27.0,93.0,95.7,92.0
Male,7.1,CBSE,84,78,78,86.0,Government School,CBSE,70.0,85.0,71.0,81,78.2,35.5,55.1,54.8,51.0,82.5,53.3,91.0,82.0
Male,7.1,CBSE,82,98,89,89.6,Government School,CBSE,71.0,81.0,76.0,64,75.4,40.6,77.1,42.6,59.9,32.2,87.1,91.7,86.1
Male,7.0,State Board,76,70,86,81.16,Private School,State Board,94.0,83.0,65.0,72,82.0,78.8,74.7,93.9,85.8,94.5,83.9,95.0,93.1
Male,7.0,CBSE,81,97,91,91.0,Government School,CBSE,90.0,87.0,85.0,87,87.0,76.5,73.2,60.5,72.3,94.1,74.0,83.9,85.8
Male,7.0,CBSE,85,89,84,88.4,Government School,CBSE,71.0,60.0,70.0,85,75.2,70.7,87.3,82.1,84.5,53.2,30.4,7.1,15.5
Male,7.0,CBSE,90,82,72,83.2,Government School,CBSE,94.0,75.0,91.0,78,83.2,83.6,93.6,91.0,92.8,89.4,92.9,96.9,95.5
Male,7.0,CBSE,82,93,81,89.4,Government School,CBSE,83.0,85.0,89.0,63,81.2,79.0,83.0,76.7,83.0,54.0,94.5,93.0,91.8
Male,7.0,CBSE,96,91,99,96.4,Private School,CBSE,76.0,53.0,69.0,92,76.8,54.8,86.0,74.8,83.0,1.1,86.0,67.0,83.0
Male,6.9,CBSE,80,91,93,88.6,Government School,CBSE,82.0,53.0,75.0,80,76.4,64.0,92.0,61.0,87.6,53.9,86.7,12.4,67.1
Male,6.9,CBSE,96,88,93,93.4,Government School,CBSE,64.0,66.0,74.0,77,75.0,84.5,64.0,95.0,89.5,84.5,64.0,95.0,89.5
Male,6.9,CBSE,93,83,82,89.2,Government School,CBSE,79.0,74.0,76.0,75,75.0,52.1,94.7,86.2,90.2,71.8,85.5,76.3,82.6
Male,6.9,CBSE,80,100,91,91.6,Private School,State Board,74.0,87.0,79.0,73,78.8,77.5,69.8,63.2,70.8,85.8,95.5,84.0,91.8
Male,6.9,CBSE,95,94,94,95.2,Government School,CBSE,67.0,54.0,74.0,84,71.8,43.2,55.9,69.1,61.1,12.2,86.9,91.1,84.0
Male,6.9,CBSE,91,96,88,93.0,Government School,CBSE,95.0,71.0,91.0,81,86.0,40.0,73.0,76.0,72.0,22.0,90.0,95.0,90.9
Male,6.8,CBSE,81,80,68,82.8,Government School,CBSE,78.0,60.0,71.0,75,72.6,83.6,87.1,81.8,86.6,61.9,87.1,91.6,88.6
Male,6.8,CBSE,93,95,96,94.0,Government School,CBSE,69.0,77.0,70.0,85,75.2,10.0,92.5,68.2,84.2,79.2,55.6,65.3,67.1
Male,6.8,CBSE,77,81,78,83.0,Government School,CBSE,82.0,66.0,93.0,65,79.4,46.7,94.8,92.2,93.2,70.7,86.1,93.8,90.0
Male,6.8,CBSE,78,87,85,84.8,Government School,CBSE,85.0,67.0,92.0,79,81.4,79.4,87.5,85.0,87.3,81.7,93.2,97.9,95.2
Male,6.7,CBSE,91,93,90,90.8,Government School,CBSE,82.0,71.0,90.0,73,79.2,75.5,75.5,87.3,83.0,49.6,76.9,35.4,64.0
Male,6.6,CBSE,91,99,86,92.8,Government School,CBSE,91.0,67.0,69.0,89,82.16,86.3,91.0,89.8,91.4,50.0,89.5,89.5,87.9
Male,6.6,CBSE,94,87,80,89.4,Government School,CBSE,66.0,56.0,76.0,85,77.2,45.9,90.5,69.8,83.5,55.3,39.6,58.4,48.4
Male,6.6,State Board,95,95,85,90.8,Private School,CBSE,81.0,82.0,71.0,77,70.0,68.0,81.0,58.0,73.0,94.0,80.0,28.0,77.0
Male,6.6,CBSE,90,93,88,89.2,Government School,CBSE,95.0,95.0,95.0,73,88.8,26.8,89.8,74.2,80.5,92.6,84.3,93.2,91.8
Male,6.6,CBSE,87,96,88,92.8,Government School,CBSE,86.0,94.0,88.0,81,88.2,72.9,80.3,93.5,86.6,43.2,91.8,72.4,83.6
Male,6.6,State Board,80,100,90,90.25,Private School,State Board,100.0,100.0,100.0,93,97.4,88.7,46.4,64.4,66.8,88.6,86.1,77.7,86.0
Male,6.6,CBSE,92,92,76,89.8,Government School,CBSE,95.0,75.0,75.0,86,84.4,94.6,80.2,20.5,74.5,86.6,94.2,52.7,85.4
