Gender,CGPA,10th Class Board,10th Class Science Marks (out of 100),10th Class Maths Marks (out of 100),10th Class English/Language Marks (out of 100),10th Class Overall Percentage,12th Class School Category,12th Class Board,12th Class Physics Marks (out of 100),12th Class Maths Marks (out of 100),12th Class Chemistry Marks (out of 100),12th Class English/Language Marks (out of 100),12th Class Overall Percentage,JEE Mains Session 1 Maths Percentile,JEE Mains Session 1 Physics  Percentile,JEE Mains Session 1 Chemistry  Percentile,JEE Mains Session 1 Overall Score,JEE Mains Session 2 Maths  Percentile,JEE Mains Session 2 Physics  Percentile,JEE Mains Session 2 Chemistry  Percentile,JEE Mains Session 2 Overall  Percentile
Female,8.6,ICSE,83,89,86,91.8,Private School,ICSE,98,98,93,90,96,94.9,87.8,57.4,84.5,91.9,86.1,82.6,88.3
Male,8.6,State Board,93,79,76,88,Government School,Others,82,81,78,78,81.4,95.3,58.3,95.7,88.2,89.9,72.6,90.6,84.7
Male,8.6,CBSE,95,99,84,94.4,Private School,CBSE,75,86,72,80,79,73.3,87.8,78.3,84.8,82.9,93.6,83.2,90.4
Male,8.6,CBSE,98,99,99,97.16,Private School,CBSE,94,95,96,91,95,71.7,93.9,88.9,92.6,78.1,93.8,86,90.6
Male,8.4,CBSE,80,95,91,91,Government School,CBSE,95,92,83,92,90.2,96.3,91.8,72.7,90.1,91.5,86.5,88.6,89.9
Female,8.3,CBSE,94,92,93,90,Private School,CBSE,95,87,86,87,88,88.6,91.4,76.9,88.8,83.2,91.7,88.6,90.8
Male,8.3,State Board,98,94,87,96,Government School,State Board,92,94,70,74,86.5,70,83.7,93.4,88.6,67.7,88.1,80.9,85.3
Male,8.2,CBSE,92,86,86,90.6,Private School,State Board,95,100,90,88,92.5,66,83.6,90.2,85.5,57.5,90.8,96.9,91.8
Male,8.2,CBSE,89,95,90,92,Government School,CBSE,86,82,84,84,87,72.9,88.1,97.9,93,47.3,92.2,94.9,91.3
Female,8.2,ICSE,93,87,93,93.2,Private School,ICSE,73,70,78,91,82,55.3,87.9,82.9,85.3,62.8,73.5,62.2,70.7
Male,8.1,CBSE,92,91,93,94,Government School,CBSE,95,91,93,86,94,83,90.5,94.8,93.2,79.7,73.5,48.4,70.7
Male,8.1,CBSE,91,88,93,92,Private School,CBSE,71,92,78,87,79.2,54.8,64.7,81.6,74.6,46.2,76.9,95.6,87
Male,8.1,State Board,97,100,97,97.28,Government School,State Board,91,95,95,90,92.8,91.1,77.3,75.9,82.2,88.6,72.1,83.3,82.7
Male,8.1,CBSE,91,97,97,94.8,Government School,CBSE,95,95,97,92,93.2,34.9,90.8,75,81,49.5,81.6,89.6,84.3
Male,8,CBSE,91,93,92,92.8,Government School,CBSE,95,73,87,90,86.2,40,95.1,91.4,91,82.9,96.3,92.7,94.4
