Gender,CGPA,10th Class Board,10th Class Science Marks (out of 100),10th Class Maths Marks (out of 100),10th Class English/Language Marks (out of 100),10th Class Overall Percentage,12th Class School Category,12th Class Board,12th Class Physics Marks (out of 100),12th Class Maths Marks (out of 100),12th Class Chemistry Marks (out of 100),12th Class English/Language Marks (out of 100),12th Class Overall Percentage,JEE Mains Session 1 Maths Percentile,JEE Mains Session 1 Physics  Percentile,JEE Mains Session 1 Chemistry  Percentile,JEE Mains Session 1 Overall Score,JEE Mains Session 2 Maths  Percentile,JEE Mains Session 2 Physics  Percentile,JEE Mains Session 2 Chemistry  Percentile,JEE Mains Session 2 Overall  Percentile
Male,3.1,CBSE,91,92,70,86.0,Private School,State Board,81.0,68.0,82.0,82,79.0,59.9,94.5,80.8,89.5,85.2,97.0,84.7,92.9
Male,4.9,State Board,100,100,90,92.0,Private School,State Board,91.66666667,94.33333333,96.66666667,82,90.9,46.5,22.3,19.6,17.7,96.3,82.6,47.4,85.3
Male,5.0,CBSE,81,82,80,85.6,Government School,CBSE,83.0,79.0,90.0,77,83.6,72.9,87.3,80.4,86.3,78.2,81.5,59.5,77.2
Male,5.3,CBSE,78,97,94,90.8,Private School,State Board,64.0,38.0,59.0,83,65.0,45.9,81.2,73.3,75.8,77.3,44.0,23.7,41.7
Male,5.3,CBSE,72,94,80,87.8,Private School,CBSE,77.0,57.0,60.0,70,70.0,81.4,92.7,90.5,89.4,91.0,94.4,96.5,96.0
Male,5.4,CBSE,77,64,69,77.0,Government School,CBSE,83.0,85.0,76.0,83,79.8,31.9,55.1,90.3,74.9,56.5,89.4,75.1,82.6
Male,5.6,CBSE,80,91,82,84.2,Government School,CBSE,60.0,57.0,57.0,71,63.8,52.0,93.3,92.8,92.8,35.7,29.4,83.9,62.0
Male,5.8,CBSE,69,87,82,83.4,Private School,CBSE,53.0,46.0,50.0,48,53.4,76.3,76.6,55.3,74.0,5.2,11.3,25.9,5.2
Male,5.8,CBSE,72,81,73,80.0,Private School,CBSE,71.0,61.0,71.0,85,75.0,22.0,93.6,90.9,89.2,37.0,80.6,92.0,84.5
Male,5.9,CBSE,83,93,84,90.0,Government School,CBSE,70.0,60.0,76.0,73,70.6,93.8,77.7,88.8,87.5,81.0,49.1,68.2,71.6
Male,6.1,CBSE,94,83,89,91.8,Government School,CBSE,87.0,72.0,87.0,84,84.83,52.9,73.3,74.7,72.6,47.3,66.1,56.2,59.3
Male,6.1,State Board,81,86,75,76.83,Government School,State Board,81.0,81.0,72.0,51,69.6,79.4,78.8,94.1,87.5,46.2,14.8,79.8,57.0
Male,6.1,CBSE,83,94,83,90.0,Government School,CBSE,84.0,65.0,85.0,92,80.0,47.2,75.9,71.1,72.4,49.7,84.7,76.4,80.4
Male,6.1,CBSE,87,92,86,88.8,Government School,CBSE,80.0,72.0,79.0,66,78.6,79.0,88.1,97.6,93.3,91.5,92.1,79.9,90.5
